menu_fd_Code,menu_fd_Nm,upper_Fd_Grupp_Nm,fd_Grupp_Nm,ingredient_text,document
D011001,눌은밥,밥류,쌀밥,"즉석밥, 누룽지, 끓는물 부음","메뉴명: 눌은밥
메뉴 대분류: 밥류
메뉴 소분류: 쌀밥
식재료: 즉석밥, 누룽지, 끓는물 부음"
D011002,쌀밥,밥류,쌀밥,"멥쌀, 백미, 밥","메뉴명: 쌀밥
메뉴 대분류: 밥류
메뉴 소분류: 쌀밥
식재료: 멥쌀, 백미, 밥"
D011003,찰밥,밥류,쌀밥,"찹쌀, 백미, 보람찰, 밥","메뉴명: 찰밥
메뉴 대분류: 밥류
메뉴 소분류: 쌀밥
식재료: 찹쌀, 백미, 보람찰, 밥"
D011004,현미밥,밥류,쌀밥,"멥쌀, 현미, 밥","메뉴명: 현미밥
메뉴 대분류: 밥류
메뉴 소분류: 쌀밥
식재료: 멥쌀, 현미, 밥"
D011006,현미밥,밥류,쌀밥,"멥쌀, 현미, 밥","메뉴명: 현미밥
메뉴 대분류: 밥류
메뉴 소분류: 쌀밥
식재료: 멥쌀, 현미, 밥"
D011007,누룽지(멥쌀),밥류,쌀밥,메밀묵,"메뉴명: 누룽지(멥쌀)
메뉴 대분류: 밥류
메뉴 소분류: 쌀밥
식재료: 메밀묵"
D011008,흑미밥,밥류,쌀밥,"멥쌀, 백미, 생것, 멥쌀, 현미, 흑미, 생것","메뉴명: 흑미밥
메뉴 대분류: 밥류
메뉴 소분류: 쌀밥
식재료: 멥쌀, 백미, 생것, 멥쌀, 현미, 흑미, 생것"
D011009,발아현미밥,밥류,쌀밥,"멥쌀, 백미, 생것, 멥쌀, 현미, 발아현미, 생것","메뉴명: 발아현미밥
메뉴 대분류: 밥류
메뉴 소분류: 쌀밥
식재료: 멥쌀, 백미, 생것, 멥쌀, 현미, 발아현미, 생것"
D011010,흑미현미밥,밥류,쌀밥,"멥쌀, 백미, 생것, 멥쌀, 현미, 발아현미, 생것, 멥쌀, 현미, 흑미, 생것","메뉴명: 흑미현미밥
메뉴 대분류: 밥류
메뉴 소분류: 쌀밥
식재료: 멥쌀, 백미, 생것, 멥쌀, 현미, 발아현미, 생것, 멥쌀, 현미, 흑미, 생것"
D012001,검정콩밥,밥류,잡곡밥류,"대두, 검은색, 흑태, 삶은것, 멥쌀, 백미, 밥","메뉴명: 검정콩밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 대두, 검은색, 흑태, 삶은것, 멥쌀, 백미, 밥"
D012002,기장밥,밥류,잡곡밥류,"기장, 도정, 생것, 멥쌀, 백미, 밥","메뉴명: 기장밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 기장, 도정, 생것, 멥쌀, 백미, 밥"
D012003,녹두밥,밥류,잡곡밥류,"녹두, 삶은것, 멥쌀, 백미, 밥, 찹쌀, 백미, 보람찰, 밥","메뉴명: 녹두밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 녹두, 삶은것, 멥쌀, 백미, 밥, 찹쌀, 백미, 보람찰, 밥"
D012004,땅콩밥,밥류,잡곡밥류,"땅콩, 삶은것, 소금첨가, 멥쌀, 백미, 밥","메뉴명: 땅콩밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 땅콩, 삶은것, 소금첨가, 멥쌀, 백미, 밥"
D012005,밤밥,밥류,잡곡밥류,"밤, 삶은것, 멥쌀, 백미, 밥","메뉴명: 밤밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 밤, 삶은것, 멥쌀, 백미, 밥"
D012006,보리밥,밥류,잡곡밥류,"보리, 겉보리, 압맥, 멥쌀, 백미, 밥","메뉴명: 보리밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 보리, 겉보리, 압맥, 멥쌀, 백미, 밥"
D012007,보리밥(강낭콩),밥류,잡곡밥류,"보리, 겉보리, 압맥, 멥쌀, 백미, 밥, 강낭콩, 삶은것","메뉴명: 보리밥(강낭콩)
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 보리, 겉보리, 압맥, 멥쌀, 백미, 밥, 강낭콩, 삶은것"
D012008,보리밥(조),밥류,잡곡밥류,"보리, 겉보리, 압맥, 멥쌀, 백미, 밥, 조, 메조, 도정, 찐것","메뉴명: 보리밥(조)
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 보리, 겉보리, 압맥, 멥쌀, 백미, 밥, 조, 메조, 도정, 찐것"
D012009,보리밥(팥),밥류,잡곡밥류,"보리, 겉보리, 압맥, 멥쌀, 백미, 밥, 팥, 적색, 삶은것","메뉴명: 보리밥(팥)
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 보리, 겉보리, 압맥, 멥쌀, 백미, 밥, 팥, 적색, 삶은것"
D012010,수수밥,밥류,잡곡밥류,"수수, 찰수수, 도정, 생것, 멥쌀, 백미, 밥","메뉴명: 수수밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 수수, 찰수수, 도정, 생것, 멥쌀, 백미, 밥"
